ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y,LabelName_Text
0000048549557964,xclick,/m/0k4j,1,0.194375,0.32625,0.72,0.758333,1,0,0,0,0,0.32625,0.194375,0.28375,0.238125,0.753333,0.744167,0.758333,0.72,Car
0000048549557964,xclick,/m/0k4j,1,0.435,0.725625,0.698333,0.944167,0,0,0,0,0,0.435,0.725625,0.609375,0.585625,0.871667,0.815,0.698333,0.944167,Car
0000048549557964,xclick,/m/0k4j,1,0.70625,0.936875,0.685833,0.865,1,0,0,0,0,0.70625,0.936875,0.78375,0.78875,0.763333,0.724167,0.865,0.685833,Car
0000048549557964,xclick,/m/0k4j,1,0.82875,0.999375,0.6925,0.908333,0,1,0,0,0,0.958125,0.82875,0.958125,0.999375,0.908333,0.830833,0.6925,0.7325,Car
0000048549557964,xclick,/m/0pg52,1,0.206875,0.326875,0.720833,0.77,1,0,0,0,0,0.246875,0.206875,0.31125,0.326875,0.720833,0.746667,0.77,0.763333,Taxi
0000048549557964,xclick,/m/0pg52,1,0.436875,0.723125,0.699167,0.936667,0,0,0,0,0,0.630625,0.436875,0.585,0.723125,0.699167,0.8725,0.936667,0.825833,Taxi
0000048549557964,xclick,/m/0pg52,1,0.70125,0.92375,0.679167,0.866667,1,0,0,0,0,0.85625,0.92375,0.70125,0.76625,0.679167,0.701667,0.7725,0.866667,Taxi
0000048549557964,xclick,/m/0pg52,1,0.828125,0.99875,0.690833,0.901667,0,1,0,0,0,0.96375,0.828125,0.958125,0.99875,0.690833,0.830833,0.901667,0.825833,Taxi
00005bf623ff1ac2,xclick,/m/0k4j,1,0.036719,0.974219,0.133646,0.924971,0,0,0,0,0,0.036719,0.374219,0.536719,0.974219,0.431419,0.133646,0.924971,0.713951,Car
00005bf623ff1ac2,xclick,/m/0k4j,1,0.748438,0.999219,0.154748,0.344666,1,1,0,0,0,0.748438,0.939063,0.999219,0.999219,0.243845,0.154748,0.344666,0.344666,Car
000096726fd6c6c8,xclick,/m/0k4j,1,0.0725,0.14625,0.2075,0.3125,1,0,0,0,0,0.0725,0.091875,0.14625,0.123125,0.255833,0.2075,0.275833,0.3125,Car
000096726fd6c6c8,xclick,/m/0k4j,1,0.15,0.7925,0.1625,0.999167,0,0,0,0,0,0.15,0.656875,0.7925,0.734375,0.713333,0.1625,0.863333,0.999167,Car
